model,fpr,tpr,threshold,roc_auc
ZScoreBaseline,0.7219947897283215,0.98,0.03654431767214455,0.7810011164867882
ZScoreBaseline,0.7223669519910682,1.0,0.03653274983369252,0.7810011164867882
ZScoreBaseline,0.7294380349832527,1.0,0.03595684213083174,0.7810011164867882
ZScoreBaseline,0.7301823595087458,1.0,0.03591669572951244,0.7810011164867882
ZScoreBaseline,0.7361369557126908,1.0,0.03531661675626747,0.7810011164867882
ZScoreBaseline,0.7372534425009304,1.0,0.03521625434297391,0.7810011164867882
ZScoreBaseline,0.737625604763677,1.0,0.03520877984417741,0.7810011164867882
ZScoreBaseline,0.7454410122813546,1.0,0.035207038925460586,0.7810011164867882
ZScoreBaseline,0.7491626349088203,1.0,0.03480211716921802,0.7810011164867882
ZScoreBaseline,0.7499069594343134,1.0,0.034740240037207354,0.7810011164867882
ZScoreBaseline,0.7606996650539636,1.0,0.03364087512585006,0.7810011164867882
ZScoreBaseline,0.7614439895794567,1.0,0.03362589032021601,0.7810011164867882
ZScoreBaseline,0.7666542612579085,1.0,0.03311822961282884,0.7810011164867882
ZScoreBaseline,0.7673985857834016,1.0,0.033031534386180395,0.7810011164867882
ZScoreBaseline,0.7841458876069967,1.0,0.030988302540819756,0.7810011164867882
ZScoreBaseline,0.7848902121324898,1.0,0.030973331784167665,0.7810011164867882
ZScoreBaseline,0.7915891328619278,1.0,0.030162338148355634,0.7810011164867882
ZScoreBaseline,0.7923334573874209,1.0,0.03008566733579076,0.7810011164867882
ZScoreBaseline,0.7941942687011537,1.0,0.0298522197430751,0.7810011164867882
ZScoreBaseline,0.7949385932266468,1.0,0.029811299901770432,0.7810011164867882
ZScoreBaseline,0.7994045403796055,1.0,0.029400408387066423,0.7810011164867882
ZScoreBaseline,0.8008931894305917,1.0,0.029303639194383266,0.7810011164867882
ZScoreBaseline,0.8049869743208039,1.0,0.028809359549415273,0.7810011164867882
ZScoreBaseline,0.8064756233717901,1.0,0.028797169026241652,0.7810011164867882
ZScoreBaseline,0.8068477856345366,1.0,0.028781023510712517,0.7810011164867882
ZScoreBaseline,0.8087085969482695,1.0,0.028780525067287947,0.7810011164867882
ZScoreBaseline,0.8128023818384815,1.0,0.028508548228259704,0.7810011164867882
ZScoreBaseline,0.8135467063639747,1.0,0.02849738542430584,0.7810011164867882
ZScoreBaseline,0.8157796799404541,1.0,0.028180183889694607,0.7810011164867882
ZScoreBaseline,0.8165240044659472,1.0,0.028161267767280014,0.7810011164867882
ZScoreBaseline,0.8206177893561593,1.0,0.027839706924350865,0.7810011164867882
ZScoreBaseline,0.8213621138816524,1.0,0.027831652816354337,0.7810011164867882
ZScoreBaseline,0.8310383327130629,1.0,0.02702753129812256,0.7810011164867882
ZScoreBaseline,0.831782657238556,1.0,0.027007107334030576,0.7810011164867882
ZScoreBaseline,0.8425753628582062,1.0,0.026016801598111903,0.7810011164867882
ZScoreBaseline,0.8433196873836993,1.0,0.02592500196661718,0.7810011164867882
ZScoreBaseline,0.8436918496464458,1.0,0.025923685323253384,0.7810011164867882
ZScoreBaseline,0.844436174171939,1.0,0.02586284013407109,0.7810011164867882
ZScoreBaseline,0.8485299590621511,1.0,0.025233791399635733,0.7810011164867882
ZScoreBaseline,0.8503907703758838,1.0,0.025209060653222592,0.7810011164867882
ZScoreBaseline,0.8533680684778564,1.0,0.025027005889823376,0.7810011164867882
