player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident,likely_explanation
HKASHDJAWHD,1991.409090909091,1800-2000,22,2.695922553786787,1,0.23063572100761554,-1,-0.09150919443841432,1,-2.914548379703672,1,4.170043,-1,1.0,1,0.2946676,1,2,True,False,unexplained_deviation
texanguy,2183.4,2000-2200,20,5.396081862519934,-1,0.5275736703343576,-1,-0.012685718523701484,1,2.623460158907102,-1,2.0753505,-1,1.0,1,1.9320428,-1,3,True,True,pool_mismatch
Nico80,1371.7777777777778,1200-1400,36,1.9051493850668586,1,0.08328599511515544,-1,-0.11172106529857012,1,-3.4518382137401042,1,1.8343515,-1,0.9182320312593856,1,0.56280184,-1,2,True,False,unexplained_deviation
Mayankme,1541.65,1400-1600,20,8.482542976572816,-1,-0.1197135227359416,1,-0.0711632775283908,1,4.308429316690621e-05,-1,2.975009,-1,1.0,1,1.9191096,-1,2,True,False,unexplained_deviation
velours,2063.5641025641025,2000-2200,39,3.6949084055114754,1,0.022555267730916873,-1,-0.10779867843217783,1,-2.0242397141958426,1,2.4057753,-1,1.0,1,0.53414637,-1,2,True,False,unexplained_deviation
cajunjacques,1050.95,1000-1200,20,4.03542037237144,1,0.10019194590362646,-1,-0.05415830979624808,1,-0.00010704432239982964,1,3.1012614,-1,1.0,1,0.9122455,-1,2,True,False,unexplained_deviation
furkifurki,1825.8,1800-2000,20,2.468712434053034,1,0.20917847265575884,-1,-0.10824553114221097,1,-1.554143925055321,1,2.476456,-1,1.0,1,0.65907663,-1,2,True,False,unexplained_deviation
Linkeloetje,1521.632911392405,1400-1600,79,8.803147745314854,-1,-0.054035075110677955,1,-0.10691131454133052,1,0.00017906522444821604,-1,2.6482494,-1,1.0,1,3.282043,-1,2,True,False,unexplained_deviation
Ekber,1798.6415094339623,1600-1800,53,1.931321112466998,1,0.06273776783797214,-1,-0.13433269192291114,1,-2.368087768266834,1,2.0636551,-1,1.0,1,0.9046781,-1,2,True,False,unexplained_deviation
rodrigoaia,1841.0408163265306,1800-2000,49,4.512367980926716,-1,0.03133009517395702,-1,-0.027756405900751457,1,0.20758750645993995,-1,1.3716043,1,1.0,1,0.9584393,-1,2,True,False,unexplained_deviation
chessLTDchess,1799.3703703703704,1600-1800,27,8.378818531347138,-1,-0.15838673999786979,1,-0.05225347839092381,1,0.39992823194499394,-1,3.7549572,-1,1.0,1,0.09748418,1,2,True,False,unexplained_deviation
mutazghunaim,1952.6904761904761,1800-2000,42,8.15148322763367,-1,0.04172985870011425,-1,0.03599343393533372,-1,2.776920839881796,-1,1.0934206,1,1.0,1,0.25344238,1,2,True,False,unexplained_deviation
cadu7,1479.4102564102564,1400-1600,39,4.552349494701419,-1,0.11533387610566637,-1,-0.023041463299128262,1,0.15359275454841992,-1,5.2901654,-1,1.0,1,0.70858455,-1,3,True,True,unexplained_deviation
pexon77,1840.3,1800-2000,50,14.34695366919445,-1,0.07018537678602943,-1,0.012401657868241434,-1,3.5833041278070663,-1,2.9121692,-1,1.0,1,0.15320382,1,3,True,True,unexplained_deviation
dk22,1844.258064516129,1800-2000,31,7.300574253411351,-1,0.24967273843191173,-1,-0.048579604799183884,1,0.7505377334874543,-1,1.4604927,1,1.0,1,2.496115,-1,2,True,False,unexplained_deviation
iTzLuigi51,1401.2727272727273,1400-1600,22,4.317826658698885,1,-0.15630283883527674,1,-0.055647695726454616,1,0.0002847878592033837,-1,3.0271242,-1,1.0,1,0.50433564,-1,2,True,False,unexplained_deviation
nazarisha,1491.7608695652175,1400-1600,46,2.695922553786787,1,0.016382496558664972,-1,-0.0969944993844144,1,-2.052039647606425,1,1.6750069,-1,1.0,1,0.3217241,1,2,True,False,unexplained_deviation
ibonuribeetxebarria,2084.318181818182,2000-2200,132,2.004025703761696,1,0.0628327371748596,-1,-0.12283132887260723,1,-4.284573098001059,1,1.6530045,-1,1.0,1,0.2834705,1,2,True,False,unexplained_deviation
Gasavitdin,1659.057142857143,1600-1800,35,2.468712434053034,1,0.0249046493820404,-1,-0.08060643143058199,1,-3.253318600353624,1,1.7215948,-1,1.0,1,0.30171904,1,2,True,False,unexplained_deviation
The-Dread-Of-Valyria,2086.7586206896553,2000-2200,29,3.32361100859226,1,0.1305961354999432,-1,-0.018088394073150882,1,0.5383783592418263,-1,2.168698,-1,1.0,1,0.8179547,-1,3,True,True,pool_mismatch
pawnimpact0007,1807.0,1800-2000,41,2.743840328418862,1,0.15045766392797555,-1,-0.11850469089748528,1,-1.9686314821823228,1,2.060054,-1,0.8329646929440235,1,0.27832875,1,2,True,False,unexplained_deviation
mecnuncinar,1608.1,1600-1800,20,2.735234492072089,1,0.1944503194737004,-1,-0.032582150547053934,1,-0.6069293110278782,1,3.1209917,-1,1.0,1,0.21843916,1,2,True,False,unexplained_deviation
hamidsham,1577.8,1400-1600,20,4.519394402207461,-1,-0.007731804768570383,1,-0.07927924326364533,1,0.0003309596106246815,-1,3.4961557,-1,1.0,1,0.053736925,1,2,True,False,unexplained_deviation
masterkina,1701.5416666666667,1600-1800,48,6.668923847300716,-1,-0.09204721133163707,1,-0.009273726147220551,1,3.244356527520864e-05,-1,1.625012,-1,1.0,1,0.7793367,-1,2,True,False,unexplained_deviation
desolator777,1583.8245614035088,1400-1600,57,2.7387961926436715,1,0.18453383929829692,-1,-0.07849467653023778,1,-1.4951064064060553,1,2.7604144,-1,1.0,1,0.7623923,-1,2,True,False,unexplained_deviation
bucerro2015,1676.1176470588234,1600-1800,17,2.309962708070938,1,0.10562194842853012,-1,-0.11784840819800163,1,-2.755181632152257,1,2.095382,-1,1.0,1,0.17564875,1,2,True,False,unexplained_deviation
alexte005,2018.590909090909,2000-2200,22,5.332311759960394,-1,0.08453097161676171,-1,-0.10268689686712901,1,-0.0002873082677838923,1,9.223422,-1,1.0,1,2.3234668,-1,2,True,False,unexplained_deviation
caciano,1782.3939393939395,1600-1800,33,12.710242746770927,-1,-0.10720239339753213,1,-0.07029669384741705,1,2.2948217889703204,-1,3.8488061,-1,1.0,1,5.1637545,-1,2,True,False,unexplained_deviation
juanpablo11,1922.0,1800-2000,16,2.7665077906712083,1,0.019203778234371915,-1,-0.1411523054135046,1,-2.72631500166266,1,2.5610998,-1,1.0,1,0.5983422,-1,2,True,False,unexplained_deviation
Amarul4,1603.8636363636363,1600-1800,22,4.887879310865477,-1,0.04123670337978291,-1,-0.062136607748705275,1,0.007207463739384856,-1,2.7965164,-1,1.0,1,1.0359131,-1,3,True,True,unexplained_deviation
zoomsp,1560.0,1400-1600,18,4.555563305826882,-1,0.12115217669542822,-1,0.003361140519558048,-1,0.38155971598058613,-1,3.2779932,-1,1.0,1,1.2865381,-1,3,True,True,unexplained_deviation
kingsend,2366.823529411765,2200+,17,22.120166762014367,-1,-0.03098304778474814,1,0.0005697078513122733,-1,3.7487108582101607,-1,1.7545987,-1,1.0,1,0.039999112,1,2,True,False,rapid_improvement
nascimento186,943.28,800-1000,25,5.493340582451977,-1,0.39491544322252903,-1,-0.10213423074559647,1,0.4526276327406942,-1,4.90962,-1,1.0,1,1.7605776,-1,3,True,True,unexplained_deviation
fabiang81,1332.4545454545455,1200-1400,22,2.588981141977608,1,0.14225598124280747,-1,-0.07255507323570598,1,-1.150802940193441,1,2.6891985,-1,1.0,1,0.02984938,1,2,True,False,unexplained_deviation
Peloduro,1793.8703703703704,1600-1800,54,4.127010422197416,1,0.226372588002405,-1,-0.06488360537195437,1,0.283043512342533,-1,3.4337187,-1,1.0,1,0.9090986,-1,3,True,True,unexplained_deviation
